-0.00735637, -0.634303, -0.00884809, 1.82203, -0.00241145, 0.433106, -9.08312e-05
-0.0123554, -0.634791, -0.0147168, 1.82143, -0.0040118, 0.432783, -8.8759e-05
-0.017357, -0.634843, -0.0205951, 1.82143, -0.00561434, 0.43281, -8.83192e-05
-0.0223585, -0.634897, -0.0264734, 1.82142, -0.00721687, 0.432841, -8.78121e-05
-0.0276516, -0.635177, -0.0326903, 1.82111, -0.00891135, 0.432707, -8.62516e-05
-0.0326517, -0.635233, -0.0385691, 1.82109, -0.0105132, 0.432746, -8.56054e-05
-0.0376517, -0.635291, -0.0444477, 1.82107, -0.012115, 0.43279, -8.4892e-05
-0.0426516, -0.63535, -0.050326, 1.82105, -0.0137168, 0.432837, -8.41113e-05
-0.0476497, -0.635629, -0.0561942, 1.82073, -0.0153161, 0.432717, -8.24181e-05
-0.0526481, -0.635691, -0.0620729, 1.8207, -0.0169173, 0.432773, -8.15023e-05
-0.0576448, -0.635973, -0.0679397, 1.82037, -0.0185157, 0.43266, -7.96764e-05
-0.0626416, -0.636038, -0.0738187, 1.82034, -0.0201163, 0.432724, -7.86254e-05
-0.0676369, -0.636323, -0.0796841, 1.82, -0.0217139, 0.43262, -7.66671e-05
-0.0726322, -0.636391, -0.0855632, 1.81996, -0.0233137, 0.432693, -7.54809e-05
-0.0776261, -0.636678, -0.091427, 1.81962, -0.0249105, 0.432597, -7.33906e-05
-0.0873095, -0.637121, -0.102807, 1.81923, -0.0280041, 0.432611, -6.5855e-05
-0.0873095, -0.637121, -0.102807, 1.81923, -0.0280041, 0.432611, -6.5855e-05
-0.0923006, -0.637412, -0.108669, 1.81888, -0.0295995, 0.432527, -6.35704e-05
-0.0987562, -0.637746, -0.116256, 1.81851, -0.0316625, 0.432481, -5.98194e-05
-0.101985, -0.637785, -0.120062, 1.81847, -0.032697, 0.432541, -5.91853e-05
-0.10668, -0.638073, -0.125577, 1.81812, -0.0341973, 0.432462, -5.69584e-05
-0.111667, -0.63837, -0.131436, 1.81775, -0.0357905, 0.432394, -5.44183e-05
-0.116359, -0.638661, -0.13695, 1.81739, -0.0372894, 0.432323, -5.2078e-05
-0.12105, -0.638954, -0.142463, 1.81702, -0.0387877, 0.432255, -4.96827e-05
-0.126032, -0.639255, -0.148321, 1.81665, -0.0403788, 0.432199, -4.69524e-05
-0.130721, -0.63955, -0.153833, 1.81628, -0.0418757, 0.432139, -4.44441e-05
-0.135407, -0.63963, -0.159369, 1.81621, -0.0433761, 0.432256, -4.26465e-05
-0.140094, -0.640145, -0.164853, 1.81553, -0.0448681, 0.43203, -3.92805e-05
