0.277468,	0.251111,	0.545084
0.317746,	0.221944,	0.555631
0.357161,	0.250786,	0.624491
0.359594,	0.2345,	0.611009
0.370878,	0.265683,	0.654798
0.369742,	0.243821,	0.631708
0.362772,	0.31869,	0.697205
0.352935,	0.225733,	0.595014
0.360196,	0.2553,	0.632542
0.367662,	0.242362,	0.627812
0.371303,	0.355634,	0.744863
0.361741,	0.217754,	0.594874
0.356885,	0.250158,	0.623224
0.35725,	0.231253,	0.605259
0.364813,	0.265713,	0.648239
0.338369,	0.239088,	0.595095
0.366085,	0.241828,	0.623311
0.357263,	0.225508,	0.598845
0.367337,	0.256708,	0.640819
0.361358,	0.237556,	0.616604
0.357026,	0.264138,	0.638842
0.36018,	0.217288,	0.592554
0.367531,	0.249883,	0.63373
0.366081,	0.236834,	0.619957
0.367221,	0.263736,	0.648407
0.357738,	0.231691,	0.606853
0.359576,	0.244577,	0.620162
0.361299,	0.226886,	0.605069
0.334712,	0.255379,	0.607315
0.357428,	0.236075,	0.611453
0.360658,	0.259903,	0.638062
0.369209,	0.244178,	0.631452
0.360898,	0.258744,	0.637277
0.315368,	0.244895,	0.579026
0.367614,	0.267281,	0.653207
0.368437,	0.244375,	0.632829
0.365255,	0.250565,	0.634974
0.366797,	0.250302,	0.636416
0.369013,	0.255839,	0.644183
0.369861,	0.248194,	0.637119
0.372005,	0.253974,	0.645587
0.363621,	0.252781,	0.635506
0.369001,	0.250574,	0.638578
0.369309,	0.244947,	0.632804
0.365179,	0.251306,	0.635461
0.360206,	0.245302,	0.623982
0.375037,	0.269761,	0.66299
0.361483,	0.242109,	0.622035
0.372925,	0.268241,	0.660069
0.367564,	0.240578,	0.626862
0.366433,	0.328301,	0.713408
0.369491,	0.248433,	0.636716
0.372107,	0.246811,	0.638272
0.362409,	0.247844,	0.629573
0.364017,	0.248789,	0.631984
0.36578,	0.242212,	0.626772
0.367389,	0.24994,	0.635982
0.361508,	0.244183,	0.624338
0.375683,	0.269044,	0.663507
0.359802,	0.241977,	0.620403
0.364028,	0.264685,	0.647349
0.369426,	0.24108,	0.629521
0.361359,	0.255999,	0.636181
0.368081,	0.236622,	0.623863
0.371933,	0.262739,	0.653176
0.362946,	0.239423,	0.621098
0.368017,	0.25826,	0.644215
0.345194,	0.228136,	0.591831
0.368221,	0.254503,	0.639953
0.358918,	0.232627,	0.609182
0.363245,	0.262088,	0.643213
0.336182,	0.237494,	0.591626
0.364292,	0.244772,	0.627239
0.364897,	0.250208,	0.634148
0.367593,	0.253365,	0.640147
0.36956,	0.260878,	0.650221
0.366787,	0.260568,	0.647471
0.362761,	0.261209,	0.644484
0.366985,	0.253913,	0.646804
0.362774,	0.259335,	0.644333
0.366036,	0.262073,	0.648322
