0.278437,	0.252079,	0.547664
0.120186,	0.082052,	0.214229
0.16612,	0.106017,	0.287455
0.163844,	0.0965358,	0.273084
0.158437,	0.0957947,	0.267003
0.173481,	0.100489,	0.287045
0.155675,	0.0838788,	0.25103
0.15913,	0.0957839,	0.267623
0.16516,	0.0985193,	0.276735
0.161715,	0.10629,	0.28178
0.153814,	0.0981017,	0.265293
0.159795,	0.0813006,	0.252349
0.166209,	0.0962205,	0.275098
0.1666,	0.0998724,	0.279541
0.167537,	0.105431,	0.286599
0.158133,	0.0964528,	0.267063
0.154697,	0.0757683,	0.241578
0.159155,	0.0919316,	0.263339
0.16687,	0.099953,	0.279981
0.164003,	0.102874,	0.279979
0.164271,	0.098598,	0.275546
0.157057,	0.0784995,	0.246489
0.165953,	0.0910725,	0.269022
0.165245,	0.0988553,	0.2768
0.167367,	0.101747,	0.282422
0.164319,	0.0962546,	0.273427
0.153162,	0.0717958,	0.252967
0.356514,	0.250324,	0.623707
0.157784,	0.0970436,	0.267861
0.165084,	0.0958099,	0.274014
0.162806,	0.0915752,	0.26651
0.16068,	0.100332,	0.274416
0.164199,	0.0961071,	0.273172
0.159852,	0.100086,	0.273693
0.158175,	0.0972684,	0.269218
0.161341,	0.100955,	0.276988
0.161831,	0.100149,	0.275771
0.161506,	0.101764,	0.277082
0.160477,	0.102534,	0.276812
0.166478,	0.101092,	0.281242
0.165035,	0.101536,	0.280108
0.165273,	0.10212,	0.280917
0.16523,	0.095144,	0.27351
0.159185,	0.0930613,	0.265167
0.162388,	0.0957174,	0.270899
0.165954,	0.0926207,	0.271782
0.141319,	0.0872191,	0.241237
0.157761,	0.089602,	0.259607
0.160347,	0.094275,	0.26855
0.156223,	0.0876512,	0.257484
0.165093,	0.0948012,	0.272598
0.135005,	0.0852429,	0.233216
0.165441,	0.0956857,	0.274158
0.159289,	0.0925163,	0.265181
0.156552,	0.0916949,	0.261483
0.158598,	0.0917078,	0.263315
0.163913,	0.0941995,	0.270689
0.157096,	0.091522,	0.261526
0.157622,	0.0921832,	0.262325
0.1467,	0.0904339,	0.249936
0.154004,	0.0944805,	0.261319
0.165519,	0.0888936,	0.266697
0.165502,	0.0907799,	0.280283
0.16246,	0.0824935,	0.258288
0.156986,	0.0875188,	0.258023
0.164628,	0.0864058,	0.263384
0.135105,	0.0822589,	0.229133
0.155103,	0.0832917,	0.251758
0.16371,	0.0934201,	0.269485
0.165389,	0.0934334,	0.271698
0.16472,	0.0990548,	0.277493
0.165881,	0.100733,	0.28
0.161949,	0.10471,	0.280641
0.169666,	0.112571,	0.29706
0.169665,	0.113332,	0.298261
0.0978525,	0.113506,	0.227046
0.164009,	0.117911,	0.29776
0.163678,	0.119746,	0.299564
0.169097,	0.113902,	0.302557
0.173525,	0.121549,	0.312725
0.166639,	0.119009,	0.301451
