time,	length
320,	7.09029
472,	8.83548
373,	7.38591
454,	7.07113
1042,	8.24469
1389,	6.9942
1085,	10.1593
1054,	7.94972
1429,	11.9594
3898,	8.53666
113,	7.41511
1395,	8.24784
1945,	8.83681
602,	7.52421
651,	6.95202
273,	8.76683
4688,	10.4147
1870,	8.89198
969,	6.41312
525,	9.49272
1012,	10.494
973,	7.99968
583,	7.9201
1523,	6.45992
2234,	11.3283
1109,	8.10281
7275,	10.9895
1424,	9.61651
818,	11.5731
951,	7.99522
