time,	length
181,	8.90398
1635,	8.80091
287,	9.61028
791,	8.10648
559,	9.64276
1519,	7.46868
1259,	9.60196
7137,	11.9691
1245,	10.0373
760,	9.58326
2046,	8.50896
1867,	11.0106
806,	7.41086
427,	9.064
721,	8.37245
2265,	9.17001
916,	8.4902
1495,	7.30414
848,	9.85917
4324,	8.79844
196,	7.53103
511,	10.76
1112,	8.91811
7397,	9.29065
5448,	12.3398
1046,	7.30543
861,	8.19918
1443,	6.78938
2086,	10.6744
607,	7.99508
