time,	length
10951,	11.1065
1397,	7.69295
13538,	9.11256
13777,	13.5529
12713,	9.78172
3421,	8.64805
2696,	7.76453
1459,	9.60384
2565,	7.25157
2411,	7.02021
3220,	7.86176
2823,	9.7102
13901,	10.2453
3686,	8.67261
1161,	6.76102
15002,	0
1060,	8.65454
3810,	8.72969
15003,	0
1839,	9.15497
3024,	6.22972
3701,	10.7391
3214,	8.45464
3635,	7.3026
15004,	0
2126,	7.78024
4961,	11.9092
1210,	9.64198
704,	7.77471
1331,	6.4998
