time,	length
2102,	9.8318
3245,	13.5633
1648,	14.0717
79,	6.32706
375,	8.75031
1792,	8.56523
841,	11.0623
600,	7.8958
1169,	8.44603
236,	7.42552
795,	9.53266
296,	8.65926
298,	7.30851
1182,	8.72758
988,	8.12635
3958,	9.13909
2167,	9.27025
270,	6.93543
4236,	9.12943
186,	7.37186
4694,	10.7049
118,	6.15182
643,	9.91014
2388,	11.9345
3786,	14.0199
1365,	9.89317
884,	11.702
3265,	11.1713
487,	10.9445
274,	7.65385
