time,	length
15003,	0
15003,	0
15004,	0
15002,	0
6709,	9.43889
15001,	0
15004,	0
15003,	0
15004,	0
15004,	0
15003,	0
15003,	0
15001,	0
6825,	8.50589
15002,	0
15001,	0
9032,	11.0986
15001,	0
2626,	9.1258
15003,	0
15001,	0
15003,	0
15003,	0
15004,	0
15004,	0
15002,	0
6730,	9.48793
15002,	0
15001,	0
15001,	0
